Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
menuItem,Alcohol,Classic Cocktails,Manhattan,,,Liquor,[],6.0,16.00,13.00,96.0,0.0,0.0,0.0,96.0,6.72,0.0,0.0
modifier,Alcohol,Classic Cocktails,Manhattan,,Springbrook Rye,,[],1.0,3.00,3.00,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
modifier,Alcohol,Classic Cocktails,Manhattan,,Springbrook Bourbon,,[],2.0,3.00,3.00,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
modifier,Alcohol,Classic Cocktails,Manhattan,,Makers Mark,,[],3.0,3.00,3.00,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
menuItem,Alcohol,Classic Cocktails,Old Fashion,,,Liquor,[],15.0,16.60,13.00,249.0,0.0,0.0,0.0,249.0,17.43,0.0,0.0
modifier,Alcohol,Classic Cocktails,Old Fashion,,Well Whiskey,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Classic Cocktails,Old Fashion,,Springbrook Rye,,[],2.0,3.00,3.00,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
modifier,Alcohol,Classic Cocktails,Old Fashion,,Springbrook Bourbon,,[],1.0,3.00,3.00,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
modifier,Alcohol,Classic Cocktails,Old Fashion,,Makers Mark,,[],5.0,3.00,3.00,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
modifier,Alcohol,Classic Cocktails,Old Fashion,,Woodford Reserve,,[],6.0,5.00,5.00,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
specialRequest,Alcohol,Classic Cocktails,Old Fashion,,Extra Orange Slice,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Classic Cocktails,Vodka Martini,,,Liquor,[],11.0,16.82,13.00,185.0,0.0,0.0,0.0,185.0,11.83,0.0,0.0
modifier,Alcohol,Classic Cocktails,Vodka Martini,,Well Vodka,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Classic Cocktails,Vodka Martini,,Titos,,[],4.0,3.00,3.00,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
modifier,Alcohol,Classic Cocktails,Vodka Martini,,Kettle One,,[],6.0,5.00,5.00,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
specialRequest,Alcohol,Classic Cocktails,Vodka Martini,,Dirty,,[],4.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Classic Cocktails,Vodka Martini,,Straight,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Classic Cocktails,Vodka Martini,,"Straight Up, Olive",,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Classic Cocktails,Gin Martini,,,Liquor,[],2.0,18.00,13.00,36.0,0.0,0.0,0.0,36.0,2.52,0.0,0.0
modifier,Alcohol,Classic Cocktails,Gin Martini,,Hendricks,,[],2.0,5.00,5.00,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
specialRequest,Alcohol,Classic Cocktails,Gin Martini,,Dry Two Olives,,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",Alcohol,Seltzer/Canned Cocktails,,,,,,137.0,9.28,,1271.0,0.0,0.0,45.0,1271.0,84.35,0.0,0.0
menuItem,Alcohol,Seltzer/Canned Cocktails,Brooklyn Amber N/A,,,Guest Taps,[],26.0,7.65,7.65,199.0,0.0,0.0,5.0,199.0,13.37,0.0,0.0
menuItem,Alcohol,Seltzer/Canned Cocktails,(Can) White Claw Vodka + Soda Wild Peach,,,Guest Taps,[],2.0,8.00,8.00,16.0,0.0,0.0,0.0,16.0,1.12,0.0,0.0
menuItem,Alcohol,Seltzer/Canned Cocktails,(Can) High Noon- Pinneapple,,,Guest Taps,[],24.0,9.25,9.25,222.0,0.0,0.0,0.0,222.0,15.54,0.0,0.0
menuItem,Alcohol,Seltzer/Canned Cocktails,(Can) High Noon - Mango,,,Guest Taps,[],25.0,9.68,9.68,242.0,0.0,0.0,0.0,242.0,16.24,0.0,0.0
menuItem,Alcohol,Seltzer/Canned Cocktails,(Can) Sun Cruiser Iced Tea Vodka,,,Guest Taps,[],14.0,10.00,10.00,140.0,0.0,0.0,40.0,140.0,8.4,0.0,0.0
menuItem,Alcohol,Seltzer/Canned Cocktails,(Can) Surfside Strawberry,,,Guest Taps,[],9.0,10.00,10.00,90.0,0.0,0.0,0.0,90.0,6.3,0.0,0.0
menuItem,Alcohol,Seltzer/Canned Cocktails,(Can) Surfside Tea Lemonade,,,Guest Taps,[],37.0,9.78,9.78,362.0,0.0,0.0,0.0,362.0,23.38,0.0,0.0
"",Alcohol,Alcoholic Milkshakes,,,,,,18.0,13.78,,248.0,0.0,0.0,28.0,248.0,17.36,0.0,0.0
menuItem,Alcohol,Alcoholic Milkshakes,Boozy Chocolate Blast Milkshake,,,Liquor,[],10.0,13.60,13.60,136.0,0.0,0.0,28.0,136.0,9.52,0.0,0.0
menuItem,Alcohol,Alcoholic Milkshakes,Strawberry Smash Milkshake,,,Liquor,[],6.0,13.67,13.67,82.0,0.0,0.0,0.0,82.0,5.74,0.0,0.0
menuItem,Alcohol,Alcoholic Milkshakes,Boozy PB Milkshake,,,Liquor,[],1.0,15.00,15.00,15.0,0.0,0.0,0.0,15.0,1.05,0.0,0.0
menuItem,Alcohol,Alcoholic Milkshakes,Boozy Cereal Milk,,,Liquor,[],1.0,15.00,15.00,15.0,0.0,0.0,0.0,15.0,1.05,0.0,0.0
"",Alcohol,Bottles,,,,,,44.0,20.00,,880.0,60.0,0.0,0.0,820.0,51.8,0.0,0.0
menuItem,Alcohol,Bottles,White Label Sour,,,To-Go Beer,[],6.0,20.00,20.00,120.0,20.0,0.0,0.0,100.0,5.6,0.0,0.0
specialRequest,Alcohol,Bottles,White Label Sour,,5 Glasses,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Bottles,White Label Apple,,,To-Go Beer,[],2.0,20.00,20.00,40.0,0.0,0.0,0.0,40.0,2.8,0.0,0.0
menuItem,Alcohol,Bottles,White Label Apricot,,,To-Go Beer,[],5.0,20.00,20.00,100.0,20.0,0.0,0.0,80.0,5.6,0.0,0.0
menuItem,Alcohol,Bottles,White Label Blackberry,,,To-Go Beer,[],8.0,20.00,20.00,160.0,20.0,0.0,0.0,140.0,9.8,0.0,0.0
specialRequest,Alcohol,Bottles,White Label Blackberry,,2 Glasses,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Bottles,White Label Grape,,,To-Go Beer,[],4.0,20.00,20.00,80.0,0.0,0.0,0.0,80.0,4.2,0.0,0.0
menuItem,Alcohol,Bottles,White Label Pineapple,,,To-Go Beer,[],7.0,20.00,20.00,140.0,0.0,0.0,0.0,140.0,7.0,0.0,0.0
menuItem,Alcohol,Bottles,White Label Raspberry,,,To-Go Beer,[],8.0,20.00,20.00,160.0,0.0,0.0,0.0,160.0,11.2,0.0,0.0
specialRequest,Alcohol,Bottles,White Label Raspberry,,2 Gl,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Bottles,White Label Strawberry,,,To-Go Beer,[],4.0,20.00,20.00,80.0,0.0,0.0,0.0,80.0,5.6,0.0,0.0
"",Alcohol,Cans,,,,,,405.0,8.79,,3559.5,0.0,0.0,85.5,3559.5,216.59,0.0,0.0
menuItem,Alcohol,Cans,(Can) Playa,,,Beer - Draft,[],79.0,7.97,7.97,629.5,0.0,0.0,17.0,629.5,39.02,0.0,0.0
modifier,Alcohol,Cans,(Can) Playa,,"!!! DONT MAKE !!!",,[],0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Cans,(Can) Playa,,Defective Top Partial Fill,,[],0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Cans,(Can) Playa,,Lime,,[],4.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Cans,(Can) Lakeside Lounging,,,Beer - Draft,[],75.0,9.31,9.31,698.5,0.0,0.0,0.0,698.5,43.95,0.0,0.0
menuItem,Alcohol,Cans,(Can) Uncurious NEIPA,,,Beer - Draft,[],0.0,0.00,0.00,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0
menuItem,Alcohol,Cans,(Can) Citra Nelson Curious,,,Beer - Draft,[],42.0,9.21,9.21,387.0,0.0,0.0,0.0,387.0,24.95,0.0,0.0
menuItem,Alcohol,Cans,(Can) Honeybear,,,Beer - Draft,[],46.0,9.28,9.28,427.0,0.0,0.0,0.0,427.0,26.52,0.0,0.0
