Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
"",Beer To-Go,4 Packs To Go,,,,,,10.0,12.60,,126.0,0.0,0.0,0.0,126.0,7.98,0.0,0.0
menuItem,Beer To-Go,4 Packs To Go,Golden Rule Blonde 4 Pack,,,To-Go Beer,[Alcohol],1.0,12.00,12.00,12.0,0.0,0.0,0.0,12.0,0.84,0.0,0.0
menuItem,Beer To-Go,4 Packs To Go,Saratoga Vibes 4 Pack,,,To-Go Beer,[],1.0,12.00,12.00,12.0,0.0,0.0,0.0,12.0,0.84,0.0,0.0
menuItem,Beer To-Go,4 Packs To Go,Uncurious NEIPA 4 Pack,,,To-Go Beer,[Alcohol],3.0,14.00,14.00,42.0,0.0,0.0,0.0,42.0,2.94,0.0,0.0
menuItem,Beer To-Go,4 Packs To Go,Brevity Wit 4 Pack,,,To-Go Beer,[],1.0,12.00,12.00,12.0,0.0,0.0,0.0,12.0,0.84,0.0,0.0
menuItem,Beer To-Go,4 Packs To Go,Oktoberfest 4 Pack,,,To-Go Beer,[],2.0,12.00,12.00,24.0,0.0,0.0,0.0,24.0,1.68,0.0,0.0
menuItem,Beer To-Go,4 Packs To Go,Oatmeal Stout 4 Pack,,,To-Go Beer,[],2.0,12.00,12.00,24.0,0.0,0.0,0.0,24.0,0.84,0.0,0.0
"",Retail,,,,,,,17.0,22.65,,385.0,115.0,0.0,0.0,270.0,18.91,0.0,0.0
"",Retail,Hats,,,,,,3.0,25.00,,75.0,12.5,0.0,0.0,62.5,4.38,0.0,0.0
menuItem,Retail,Hats,Trucker Hat- Green,,,Retail,[],1.0,25.00,25.00,25.0,0.0,0.0,0.0,25.0,1.75,0.0,0.0
menuItem,Retail,Hats,Trucker Hat- Navy,,,Retail,[],1.0,25.00,25.00,25.0,12.5,0.0,0.0,12.5,0.88,0.0,0.0
specialRequest,Retail,Hats,Trucker Hat- Navy,,Lisa,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Retail,Hats,Trucker Hat- Light Grey,,,Retail,[],1.0,25.00,25.00,25.0,0.0,0.0,0.0,25.0,1.75,0.0,0.0
"",Retail,Glassware,,,,,,5.0,8.40,,42.0,5.0,0.0,0.0,37.0,2.59,0.0,0.0
menuItem,Retail,Glassware,Pint Glass,,,Retail,[],4.0,8.00,8.00,32.0,0.0,0.0,0.0,32.0,2.24,0.0,0.0
menuItem,Retail,Glassware,Ocktoberfest Stein 2024,,,Retail,[],1.0,10.00,10.00,10.0,5.0,0.0,0.0,5.0,0.35,0.0,0.0
"",Retail,Stickers,,,,,,3.0,1.00,,3.0,0.0,0.0,0.0,3.0,0.21,0.0,0.0
menuItem,Retail,Stickers,White Sticker,,,Retail,[],3.0,1.00,1.00,3.0,0.0,0.0,0.0,3.0,0.21,0.0,0.0
"",Retail,Light Grey TS,,,,,,1.0,25.00,,25.0,0.0,0.0,0.0,25.0,1.75,0.0,0.0
menuItem,Retail,Light Grey TS,XL,,,Retail,[],1.0,25.00,25.00,25.0,0.0,0.0,0.0,25.0,1.75,0.0,0.0
"",Retail,Pull Over,,,,,,2.0,45.00,,90.0,22.5,0.0,0.0,67.5,4.73,0.0,0.0
menuItem,Retail,Pull Over,Green Medium,,,Retail,[],1.0,45.00,45.00,45.0,22.5,0.0,0.0,22.5,1.58,0.0,0.0
menuItem,Retail,Pull Over,Green XL,,,Retail,[],1.0,45.00,45.00,45.0,0.0,0.0,0.0,45.0,3.15,0.0,0.0
"",Retail,Zip Up,,,,,,3.0,50.00,,150.0,75.0,0.0,0.0,75.0,5.25,0.0,0.0
menuItem,Retail,Zip Up,Blue Medium,,,Retail,[],2.0,50.00,50.00,100.0,50.0,0.0,0.0,50.0,3.5,0.0,0.0
menuItem,Retail,Zip Up,Blue Large,,,Retail,[],1.0,50.00,50.00,50.0,25.0,0.0,0.0,25.0,1.75,0.0,0.0
"",Employee Food,,,,,,,2.0,4.63,,9.26,0.0,0.0,0.0,9.26,0.66,0.0,0.0
"",Employee Food,BoH Employee Food,,,,,,2.0,4.63,,9.26,0.0,0.0,0.0,9.26,0.66,0.0,0.0
menuItem,Employee Food,BoH Employee Food,BoH Employee Meal,,,Food,[],2.0,4.63,4.63,9.26,0.0,0.0,0.0,9.26,0.66,0.0,0.0
"",Open items,,,,,,,2.0,1.25,,2.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0
"",Open items,Open Drink,,,,,,1.0,2.00,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
openItem,Open items,Open Drink,5 Oz Scottish 80,,,Beer - Draft,[],1.0,2.00,2.00,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"",Open items,Open Food,,,,,,1.0,0.50,,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
openItem,Open items,Open Food,Side Olive Oil,,,Food,[],1.0,0.50,0.50,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
