Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
"",Alcohol,,,,,,,1234.0,9.41,,11616.5,0.0,0.0,76.5,11616.5,774.84,0.0,0.0
"",Alcohol,Druthers Cocktails,,,,,,85.0,13.84,,1176.0,0.0,0.0,42.0,1176.0,78.96,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Ginger Pomegranate Paloma,,,Liquor,[],3.0,15.00,15.00,45.0,0.0,0.0,0.0,45.0,3.15,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Ginger Pomegranate Paloma,,Just Pomegranate Paloma,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Strawberry Grapefruit Breeze,,,Liquor,[],4.0,15.00,15.00,60.0,0.0,0.0,0.0,60.0,4.2,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Druthers Bloody Mary,,,Liquor,[],4.0,12.00,12.00,48.0,0.0,0.0,0.0,48.0,3.36,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,A Fool's Blueberry Tea,,,Liquor,[],16.0,14.00,14.00,224.0,0.0,0.0,42.0,224.0,15.68,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Strawberry Basil Margarita,,,Liquor,[],34.0,15.00,15.00,510.0,0.0,0.0,0.0,510.0,35.7,0.0,0.0
modifier,Alcohol,Druthers Cocktails,Strawberry Basil Margarita,,SALT,,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Strawberry Basil Margarita,,Just A Straw Marg,,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Strawberry Basil Margarita,,Just Starwberry Marg,,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Strawberry Basil Margarita,,Just Straw Marg,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Espresso Martini,,,Liquor,[],3.0,13.00,13.00,39.0,0.0,0.0,0.0,39.0,2.73,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Espresso Martini,,Splash Baileys,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Elderflower Spritz,,,Liquor,[],1.0,13.00,13.00,13.0,0.0,0.0,0.0,13.0,0.91,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Hoppy Rum Punch,,,Liquor,[],1.0,15.00,15.00,15.0,0.0,0.0,0.0,15.0,1.05,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Druthers Shandy,,,Liquor,[],5.0,9.00,9.00,45.0,0.0,0.0,0.0,45.0,3.15,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Long Island Iced Tea,,,Liquor,[],3.0,15.00,15.00,45.0,0.0,0.0,0.0,45.0,3.15,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Margarita Zero,,,Zero Proof,[],1.0,8.00,8.00,8.0,0.0,0.0,0.0,8.0,0.56,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Sparkling Strawberry Lemonade,,,Zero Proof,[],3.0,8.00,8.00,24.0,0.0,0.0,0.0,24.0,1.68,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Aperol Spritz,,,Liquor,[],4.0,13.00,13.00,52.0,0.0,0.0,0.0,52.0,3.64,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Aperol Spritz,,,Liquor,[],3.0,16.00,16.00,48.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0
"",Alcohol,Classic Cocktails,,,,,,5.0,15.60,,78.0,0.0,0.0,0.0,78.0,4.20,0.0,0.0
menuItem,Alcohol,Classic Cocktails,Manhattan,,,Liquor,[],2.0,13.00,13.00,26.0,0.0,0.0,0.0,26.0,1.82,0.0,0.0
modifier,Alcohol,Classic Cocktails,Manhattan,,Well Whiskey,,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Classic Cocktails,Manhattan,,Extra Cherry Juice,,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Classic Cocktails,Old Fashion,,,Liquor,[],2.0,17.00,13.00,34.0,0.0,0.0,0.0,34.0,1.12,0.0,0.0
modifier,Alcohol,Classic Cocktails,Old Fashion,,Makers Mark,,[],1.0,3.00,3.00,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
modifier,Alcohol,Classic Cocktails,Old Fashion,,Woodford Reserve,,[],1.0,5.00,5.00,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
menuItem,Alcohol,Classic Cocktails,Vodka Martini,,,Liquor,[],1.0,18.00,13.00,18.0,0.0,0.0,0.0,18.0,1.26,0.0,0.0
modifier,Alcohol,Classic Cocktails,Vodka Martini,,Kettle One,,[],1.0,5.00,5.00,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
"",Alcohol,Seltzer/Canned Cocktails,,,,,,29.0,9.21,,267.0,0.0,0.0,0.0,267.0,18.13,0.0,0.0
menuItem,Alcohol,Seltzer/Canned Cocktails,Brooklyn Amber N/A,,,Guest Taps,[],7.0,6.71,6.71,47.0,0.0,0.0,0.0,47.0,2.73,0.0,0.0
