Product,Item Code,Sold,Ordered,Difference,Inventory Price
candied jalapenos,CANDIED_JALAPENOS,0.824,1.0,0.176,$34.85
candied walnuts,CANDIED_WALNUTS,2.4,0,-2.4,$-72.77
caramelized onions,CARAMELIZED_ONIONS_FALL_23,4.45,4.0,-0.45,$-14.07
carolina bbq,CAROLINA_BBQ_SAUCE,2.459,2.0,-0.459,$-28.39
cheese sauce,CHEESE_SAUCE,37.727,58.0,20.273,$529.94
chimichurri,CHIMICHURRI_COMMISSARY_24,0.359,1.0,0.641,$8.06
cocktail sauce,COCKTAIL_SAUCE_SPRING_23,0.188,1.0,0.812,$32.36
flat iron steak,FLAT_IRON_STEAK_COMMISSARY_24,2.325,1.0,-1.325,$-210.28
herb oil,HERB_OIL_SPICE_KIT_COMMISSARY_24,0.375,0,-0.375,$-11.49
house fries,HOUSE_FRIES_COMMISSARY_24,1.15,2.0,0.85,$19.3
jalapeno ranch,JALAPENO_RANCH,1.741,2.0,0.259,$21.23
lemon caper compound,LEMON_CAPER_COMPOUND_BUTTER_COMMISSARY_24,0.015,0,-0.015,$-0.41
lemon dijon vinaigrette,LEMON_DIJON_VIN_FALL_23,1.284,0,-1.284,$-41.91
malt vinegar aioli,MALT_VINEGAR_AIOLI_COMMISSARY_24,0.719,2.0,1.281,$23.63
marinara,MARINARA_24,2.801,1.0,-1.801,$-52.59
meatballs,MEATBALLS_COMMISSARY_24,4.6,0,-4.6,$-135.42
monkey mix,MONKEY_MIX,2.2,1.0,-1.2,$-37.27
pickled red onions,PICKLED_RED_ONIONS_UPDATED,0.832,1.0,0.168,$13.51
pico de gallo,PICO_DE_GALLO_-_COMMISSARY,14.25,12.0,-2.25,$-27.72
pineapple puree,PINEAPPLE_PUREE,1.484,1.0,-0.484,$-14.98
pulled pork,PULLED_PORK,2.125,2.0,-0.125,$-3.32
ranch,RANCH_DRESSING,1.438,2.0,0.562,$40.4
raw pasta,RAW_PASTA_FALL_23,11.934,10.0,-1.934,$-35.66
roasted chicken,ROASTED_CHICKEN_-_COMMISSARY,4.68,4.0,-0.68,$-55.77
roasted tomatoes,ROASTED_TOMATOES,2.169,2.0,-0.169,$-6.82
seasoned beef,SEASONED_BEEF_COMMISSARY_24,8.812,12.0,3.188,$79.38
shredded chicken,SHREDDED_CHICKEN_-_COMMISSARY_24,6.013,6.0,-0.013,$-0.72
street corn dip,STREET_CORN_DIP_COMMISSARY_24,2.625,4.0,1.375,$91.81
tabbouleh salad,TABBOULEH_SALADE,1.05,0,-1.05,$-15.02
tartar sauce,TARTAR_SAUCE_SPRING_23,0.197,0,-0.197,$-15.42
